Open,High,Low,Close,Adj Close,Volume,Percent_Change_From_Startdate,Change_Close_Less_Open
26.219999313354492,27.25,26.200000762939453,27.225000381469727,27.225000381469727,0,3.8329561191230184,1.0050010681152344
27.172500610351562,27.172500610351562,26.09757423400879,26.10504913330078,26.10504913330078,14384,-0.4384064952860772,-1.0674514770507812
26.112499237060547,26.112499237060547,25.295000076293945,25.488750457763672,25.488750457763672,11734,-2.7888973102237165,-0.623748779296875
25.4950008392334,25.63249969482422,25.275049209594727,25.63249969482422,25.63249969482422,11451,-2.2406545915927825,0.1374988555908203
25.684999465942383,25.774999618530273,25.549999237060547,25.735000610351562,25.735000610351562,4060,-1.849728130068668,0.05000114440917969
25.434999465942383,25.488750457763672,25.3125,25.43320083618164,25.43320083618164,1619,-3.0007570472060068,-0.0017986297607421875
25.362499237060547,25.627500534057617,25.362499237060547,25.572500228881836,25.572500228881836,5943,-2.4694855126974358,0.21000099182128906
25.565000534057617,26.455825805664062,25.5575008392334,26.36614990234375,26.36614990234375,0,0.5574011930458737,0.8011493682861328
26.302499771118164,26.375,26.172500610351562,26.257299423217773,26.257299423217773,3538,0.1422582411902787,-0.045200347900390625
26.322599411010742,26.322599411010742,26.092500686645508,26.092500686645508,26.092500686645508,6258,-0.48626479804690986,-0.23009872436523438
26.13249969482422,26.1924991607666,26.030925750732422,26.1924991607666,26.1924991607666,1987,-0.10488235434042943,0.05999946594238281
26.290250778198242,26.4325008392334,26.290250778198242,26.4325008392334,26.4325008392334,5868,0.810455878885832,0.14225006103515625
26.459999084472656,26.459999084472656,26.307649612426758,26.322349548339844,26.322349548339844,3819,0.39035178362198536,-0.1376495361328125
26.4424991607666,26.59000015258789,26.4325008392334,26.59000015258789,26.59000015258789,6574,1.4111397746869805,0.14750099182128906
26.00749969482422,26.604999542236328,25.99250030517578,26.5,26.5,0,1.0678897558280886,0.49250030517578125
26.637500762939453,26.86750030517578,26.637500762939453,26.86750030517578,26.86750030517578,9823,2.46949278710126,0.22999954223632812
26.885000228881836,27.075000762939453,26.700000762939453,27.075000762939453,27.075000762939453,4037,3.2608751791594734,0.1900005340576172
27.100000381469727,27.107500076293945,26.860000610351562,26.864999771118164,26.864999771118164,1732,2.4599560436874506,-0.2350006103515625
26.792499542236328,27.217500686645508,26.78499984741211,26.8174991607666,26.8174991607666,7057,2.2787942908441954,0.024999618530273438
26.700000762939453,26.778749465942383,26.375,26.375,26.375,6648,0.5911544267911638,-0.3250007629394531
26.260000228881836,26.395000457763672,26.15275001525879,26.229999542236328,26.229999542236328,8488,0.038139699251412924,-0.030000686645507812
26.90250015258789,27.8075008392334,26.90250015258789,27.72249984741211,27.72249984741211,0,5.730360691856909,0.8199996948242188
27.8174991607666,28.075000762939453,27.802499771118164,27.94499969482422,27.94499969482422,6877,6.57894899559033,0.1275005340576172
28.0,28.100000381469727,27.8125,27.825000762939453,27.825000762939453,18298,6.121287153381023,-0.17499923706054688
27.907499313354492,27.9424991607666,27.772499084472656,27.899999618530273,27.899999618530273,4801,6.407323986160883,-0.00749969482421875
28.0,28.059999465942383,27.9424991607666,27.954999923706055,27.954999923706055,2714,6.617088694841742,-0.04500007629394531
28.0,28.077499389648438,27.997499465942383,28.077499389648438,28.077499389648438,2845,7.084287280464857,0.0774993896484375
28.165000915527344,28.372499465942383,28.082500457763672,28.25,28.25,20899,7.7421843623450375,0.08499908447265625
29.434999465942383,29.434999465942383,28.139999389648438,28.147499084472656,28.147499084472656,29477,7.351257900820923,-1.2875003814697266
28.212499618530273,28.583749771118164,28.125049591064453,28.47177505493164,28.47177505493164,5431,8.58800839262518,0.2592754364013672
28.38497543334961,28.440000534057617,28.255849838256836,28.392499923706055,28.392499923706055,5638,8.285662346470978,0.0075244903564453125
28.40250015258789,28.477500915527344,27.850000381469727,27.941024780273438,27.941024780273438,6430,6.563789138020246,-0.4614753723144531
27.947500228881836,27.95447540283203,27.655000686645508,27.917499542236328,27.917499542236328,5775,6.4740666412499,-0.030000686645507812
27.92777442932129,28.18000030517578,27.92777442932129,28.03499984741211,28.03499984741211,3000,6.9221990144492205,0.10722541809082031
27.99250030517578,28.177499771118164,27.989999771118164,28.15999984741211,28.15999984741211,3523,7.398934343486147,0.16749954223632812
27.760000228881836,28.9666748046875,27.760000228881836,28.9666748046875,28.9666748046875,0,10.475497952946391,1.206674575805664
29.04997444152832,29.164974212646484,28.739999771118164,28.917499542236328,28.917499542236328,8020,10.2879492735453,-0.1324748992919922
28.987499237060547,29.052474975585938,28.987499237060547,29.052474975585938,29.052474975585938,2002,10.80272973458392,0.06497573852539062
29.270000457763672,29.342449188232422,29.1825008392334,29.200000762939453,29.200000762939453,3623,11.365375772787198,-0.06999969482421875
29.200000762939453,29.200000762939453,29.0049991607666,29.030975341796875,29.030975341796875,3775,10.720732654675103,-0.16902542114257812
28.947799682617188,29.020000457763672,28.743749618530273,28.743749618530273,28.743749618530273,8565,9.625287457160127,-0.20405006408691406
28.737499237060547,28.899999618530273,28.737499237060547,28.8125,28.8125,3872,9.8874933430112,0.07500076293945312
29.087499618530273,29.204999923706055,28.582374572753906,29.077499389648438,29.077499389648438,0,10.898169912760256,-0.010000228881835938
29.149999618530273,29.644750595092773,29.122499465942383,29.59000015258789,29.59000015258789,9648,12.852787671573179,0.4400005340576172
29.552499771118164,29.552499771118164,28.8125,28.924999237060547,28.924999237060547,18106,10.316552229382904,-0.6275005340576172
29.02829933166504,29.227500915527344,28.977500915527344,29.125,29.125,7614,11.079331665603513,0.09670066833496094
